# a(x) c(color) d(size) b(y)
0	49	134.685132	-2.961981
1	20	131.086051	4.801881
2	44	51.744207	-6.497267
3	20	1.665814	-11.207766
4	45	46.917225	6.322316
5	6	77.677809	1.333917
6	34	188.469769	11.362020
7	34	12.758733	-5.183152
8	23	51.931744	9.645452
9	3	73.514322	8.930594
10	36	55.025505	1.010722
11	42	22.905116	10.546033
12	18	66.123163	6.028324
13	11	53.636847	13.156192
14	8	48.194438	7.928161
15	37	31.272356	22.214008
16	11	312.183853	20.642777
17	3	135.847701	25.265594
18	5	14.263821	18.930120
19	48	21.699693	-3.622831
20	9	3.286800	29.907236
21	3	183.214468	8.261842
22	33	35.235984	8.122631
23	32	23.664513	24.552208
24	31	147.854807	24.736725
25	0	155.430657	35.291480
26	26	111.060898	19.396184
27	37	82.378856	20.811294
28	0	66.527469	26.104630
29	17	71.476639	23.539649
30	23	123.078705	46.258050
31	25	209.540213	29.974542
32	24	60.321948	17.699960
33	6	161.355306	41.753830
34	23	25.398405	32.482608
35	19	151.587877	31.300309
36	34	11.722652	36.139836
37	10	49.542836	36.183320
38	42	70.259085	48.924773
39	11	39.506954	44.277825
40	47	112.327902	57.416775
41	9	171.555479	35.536755
42	39	27.110515	58.573680
43	3	8.624074	49.736300
44	24	109.047119	43.151520
45	38	11.254301	28.475957
46	42	95.364447	52.435637
47	10	5.022319	37.856710
48	35	48.316060	51.498783
49	47	133.390330	49.980876
